Flits Received per Port
Cycle: 1000 Class: 0 Subnet: 0
 Router 21: [ 0:292 1:125 2:0 3:173 4:222 ]
 Router 22: [ 0:229 1:226 2:0 3:150 4:231 ]
 Router 23: [ 0:167 1:250 2:0 3:133 4:205 ]
 Router 24: [ 0:0 1:150 2:0 3:180 4:212 ]
Cycle: 5000 Class: 0 Subnet: 0
 Router 0: [ 0:159 1:0 2:145 3:0 4:182 ]
 Router 1: [ 0:213 1:141 2:180 3:0 4:256 ]
 Router 2: [ 0:187 1:275 2:145 3:0 4:221 ]
 Router 3: [ 0:125 1:275 2:130 3:0 4:195 ]
 Router 4: [ 0:0 1:175 2:185 3:0 4:160 ]
 Router 5: [ 0:170 1:0 2:230 3:160 4:258 ]
 Router 6: [ 0:300 1:185 2:275 3:160 4:178 ]
 Router 7: [ 0:250 1:225 2:245 3:150 4:211 ]
 Router 8: [ 0:150 1:245 2:255 3:200 4:245 ]
 Router 9: [ 0:0 1:161 2:237 3:175 4:180 ]
 Router 10: [ 0:158 1:0 2:243 3:263 4:175 ]
 Router 11: [ 0:250 1:154 2:270 3:245 4:217 ]
 Router 12: [ 0:235 1:215 2:251 3:195 4:196 ]
 Router 13: [ 0:158 1:205 2:270 3:260 4:220 ]
 Router 14: [ 0:0 1:185 2:202 3:264 4:204 ]
 Router 15: [ 0:150 1:0 2:130 3:232 4:211 ]
 Router 16: [ 0:250 1:169 2:170 3:255 4:195 ]
 Router 17: [ 0:275 1:265 2:165 3:190 4:220 ]
 Router 18: [ 0:168 1:260 2:171 3:225 4:195 ]
 Router 19: [ 0:0 1:136 2:195 3:310 4:185 ]
 Router 20: [ 0:115 1:0 2:0 3:115 4:210 ]
 Router 21: [ 0:230 1:165 2:0 3:188 4:218 ]
 Router 22: [ 0:235 1:284 2:0 3:171 4:195 ]
 Router 23: [ 0:143 1:270 2:0 3:165 4:240 ]
 Router 24: [ 0:0 1:205 2:0 3:210 4:193 ]
Cycle: 6000 Class: 0 Subnet: 0
 Router 0: [ 0:216 1:0 2:155 3:0 4:185 ]
 Router 1: [ 0:272 1:130 2:166 3:0 4:195 ]
 Router 2: [ 0:240 1:175 2:165 3:0 4:210 ]
 Router 3: [ 0:140 1:215 2:155 3:0 4:200 ]
 Router 4: [ 0:0 1:150 2:115 3:0 4:165 ]
 Router 5: [ 0:145 1:0 2:255 3:225 4:200 ]
 Router 6: [ 0:225 1:160 2:260 3:185 4:257 ]
 Router 7: [ 0:260 1:260 2:233 3:105 4:189 ]
